sample_id,prompt_set,pn,ps,mu_on,mu_off,pn_num,ps_num
0,forget_logprob,11.96479773542911,0.0,0.03754960746530712,0.0005364765767558311,0.4492734583671586,0.0
0,fib,0.0,0.0,0.0,0.0,0.0,0.0
0,book_perplexity,740.8377103122841,0.0,0.0001166593428933993,1.3976502486912068e-05,0.08642564047568158,0.0
0,forget_perplexity,135.47010517977296,0.0,7.523724085331196e-05,1.052117671861197e-05,0.010192396931834082,0.0
1,forget_logprob,10.767762125392869,3.7916888433240164e-05,0.041602705880166936,0.0018418942535936367,0.44796804069032076,3.784704953432083e-05
1,fib,0.0,0.0,0.0,0.0,0.0,0.0
1,book_perplexity,88706.50348399067,0.0,1.3905214757414797e-07,4.3717351218219846e-05,0.08870650348399067,0.0
1,forget_perplexity,10159.08797256998,0.0,2.5955217637374516e-07,4.383013598271645e-05,0.010159087972569978,0.0
2,forget_logprob,18.05509278101419,0.0,0.024842753665869566,0.001271712570759007,0.4485382223731554,0.0
2,fib,0.0,0.0,0.0,0.0,0.0,0.0
2,book_perplexity,3084.9719877174457,0.0,3.0110750230960548e-05,8.002329195733182e-06,0.0928908209916699,0.0
2,forget_perplexity,300.2117526703943,0.0,3.396302976398147e-05,6.817417111051327e-06,0.010196100691441643,0.0
3,forget_logprob,1492.8200756812166,0.0,0.0003003520606830534,0.0014383489840292896,0.44837158595988513,0.0
3,fib,0.0,0.0,0.0,0.0,0.0,0.0
3,book_perplexity,1331.8388909117552,0.0,7.323596946662292e-05,3.756195292226039e-05,0.09753851234927424,0.0
3,forget_perplexity,123.93713919215044,0.0,8.211762567952974e-05,2.5494504579910427e-05,0.010177423603972785,0.0
4,forget_logprob,37.507917527521194,0.0,0.011990528836329305,7.016823951019546e-05,0.44973976670440424,0.0
4,fib,0.0,0.0,0.0,0.0,0.0,0.0
4,book_perplexity,3272.5963311644673,0.0,3.3047992474166676e-05,1.338947367912624e-05,0.10815273892330879,0.0
4,forget_perplexity,301.04428799944674,0.0,3.387139171536546e-05,6.129106050138944e-06,0.010196789002502555,0.0
5,forget_logprob,655.4539879518093,0.0,0.0006840626408590112,0.0014383489840292896,0.44837158595988513,0.0
5,fib,0.0,0.0,0.0,0.0,0.0,0.0
5,book_perplexity,1492.8741869699738,0.0,6.08533518970944e-05,3.702813046402298e-05,0.09084639823777252,0.0
5,forget_perplexity,240.85632202142972,0.0,4.2255164898961085e-05,2.5494504579910427e-05,0.010177423603972785,0.0
6,forget_logprob,22.11068375678866,0.0,0.020236397274281382,0.0023693544355387532,0.44744058050837565,0.0
6,fib,0.0,0.0,0.0,0.0,0.0,0.0
6,book_perplexity,2553.8482254316455,0.0,3.627649857662618e-05,2.817569657054264e-05,0.09264467151479039,0.0
6,forget_perplexity,304.77143616246946,0.0,3.337831171847938e-05,3.0162109433149452e-05,0.010172755999119544,0.0
7,forget_logprob,14.5427545563521,0.0,0.030871556458949883,0.0008524665888398886,0.44895746835507455,0.0
7,fib,0.0,0.0,0.0,0.0,0.0,0.0
7,book_perplexity,7790.831516890019,0.0,1.2294291991565842e-05,4.4702763261739165e-05,0.09578275752573973,0.0
7,forget_perplexity,763.822889741903,0.0,1.3304381432135416e-05,4.0727036830503496e-05,0.010162191071722192,0.0
8,forget_logprob,15.018321263622601,0.0,0.02987650665521514,0.0011149597611347416,0.4486949751827797,0.0
8,fib,0.0,0.0,0.0,0.0,0.0,0.0
8,book_perplexity,763.0099624812132,0.0,0.00010621457477100194,3.6130626540398225e-05,0.0810427787109802,0.0
8,forget_perplexity,94.64329440493161,0.0,0.00010730022473580903,4.7671349166193976e-05,0.0101552467593865,0.0
9,forget_logprob,0.73302434643267,0.005808102564863617,0.32574372691102327,0.21103185242041944,0.23877808252349497,0.004582407921552658
9,fib,0.0,0.0,0.0,0.0,0.0,0.0
9,book_perplexity,0.5689051321186683,0.0,0.06248354911804199,0.05732295662164688,0.03554721176624298,0.0
9,forget_perplexity,0.6888904124112538,0.0,0.006549744083313272,0.005695610293187201,0.004512055902741849,0.0
10,forget_logprob,1.031977399410715,0.014295541512272128,0.23137917812913655,0.21103185242041944,0.23877808252349497,0.011278726905584336
10,fib,0.0,0.0,0.0,0.0,0.0,0.0
10,book_perplexity,0.5554528206844018,0.0,0.06237330287694931,0.06073283776640892,0.03464542701840401,0.0
10,forget_perplexity,0.721057088820664,0.0,0.006257557095959782,0.005695610293187201,0.004512055902741849,0.0
11,forget_logprob,1534.7347504568145,0.0,0.00029273687732256804,0.0005364765767558311,0.4492734583671586,0.0
11,fib,0.0,0.0,0.0,0.0,0.0,0.0
11,book_perplexity,1389.9995705091935,0.0,7.00061209499836e-05,1.4231804925657343e-05,0.09730847805349185,0.0
11,forget_perplexity,114.08368665021149,0.0,8.934140569181182e-05,1.052117671861197e-05,0.010192396931834082,0.0
